"","X","ARnk","AAVEAge","AW","AL","AGF","AGA","ASOS","ASO","PlyfOdds"
"1","Anaheim Ducks",19.6666667,28,36,31.6666667,203,227.3333333,0.34,4.6666667,10.0133334
"2","Arizona Coyotes",23.3333333,27.3,33.6666667,35,201.6666667,218,1.3433333,5,12.6866666
"3","Boston Bruins",2.3333333,28.8,47.6666667,19.3333333,250.3333333,196.6666667,2.64,7,38.56
"4","Buffalo Sabres",27.6666667,26.7333333,29.3333333,38.3333333,204,253.6666667,1.0166667,2.6666667,3.6833334
"5","Calgary Flames",13.3333333,27.9333333,41,29,236.3333333,226.6666667,1.3233333,3.3333333,9.3133332
"6","Carolina Hurricanes",15.3333333,26.8333333,40,29.6666667,228.3333333,222.3333333,1.9933333,4.6666667,13.32
"7","Chicago Blackhawks",22.6666667,28.2,33.6666667,34.3333333,234.3333333,253,0.3633333,1.6666667,4.06
"8","Colorado Avalanche",12.3333333,26.7333333,41,26.6666667,249.6666667,223.3333333,1.3433333,4.6666667,18.03
"9","Columbus Blue Jackets",13,26.4,41.6666667,27.6666667,224,213.3333333,2.3166667,7,18.6333334
"10","Dallas Stars",15,28.7333333,40.6666667,29.3333333,206,198.6666667,0.68,6,13.36
"11","Detroit Red Wings",28.6666667,29.3666667,26.3333333,42.6666667,192.6666667,263.6666667,0.3433333,2.3333333,2.6766666
"12","Edmonton Oilers",19,27.3333333,36,34.3333333,227,249.3333333,0.68,2.6666667,6.6933334
"13","Florida Panthers",17.6666667,28,38.3333333,29.3333333,245.6666667,246.6666667,0.66,3.3333333,7.9866666
"14","League Average",0,27.9333333,39,30,230.6666667,230.6666667,1.3333333,4.6666667,12
"15","Los Angeles Kings",23.3333333,29,35,35.3333333,204.3333333,223.3333333,0.34,4.6666667,10.0133334
"16","Minnesota Wild",17,29.4666667,39,29.6666667,226,226.3333333,2.02,4.6666667,13.3733334
"17","Montreal Canadiens",22,28.0333333,34.6666667,33.6666667,220.3333333,238,1.3333333,4,10.6666666
"18","Nashville Predators",9.6666667,28.8,45,24.3333333,236.3333333,210,2.34,8.3333333,32.0199999
"19","New Jersey Devils",23,27.3666667,34.3333333,33,215.6666667,245,1.3366667,4,10.6733334
"20","New York Islanders",14,28.5333333,39.3333333,29,224.3333333,224.6666667,0.9933333,5.3333333,12.6533332
"21","New York Rangers",22,27.4333333,34.3333333,34.3333333,227.3333333,250,1.0066667,2.6666667,7.3466668
"22","Ottawa Senators",30.3333333,28.1,27.3333333,41.3333333,217,274.3333333,0.0166667,2,2.0166667
"23","Philadelphia Flyers",13.6666667,27.0666667,40,28,239,235.6666667,1,3,8
"24","Pittsburgh Penguins",9.3333333,27.9333333,43.6666667,26,254,227.3333333,1.3166667,5,18.9500001
"25","San Jose Sharks",15,29.2333333,40,30,238.6666667,236.3333333,0.6533333,4.3333333,9.9733332
"26","St. Louis Blues",10,28.3,43.6666667,26.3333333,230,210.6666667,1.68,6,23.04
"27","Tampa Bay Lightning",2.6666667,27.4333333,53,20,284,216.3333333,1.2933333,6,29.1733332
"28","Toronto Maple Leafs",8.3333333,27.5333333,43.6666667,26.3333333,264.3333333,233.6666667,1.31,5,18.93
"29","Vancouver Canucks",22.3333333,27.5333333,34,34.3333333,220.3333333,240.3333333,0.6866667,2.3333333,6.04
"30","Vegas Golden Knights",9,28.8,44.3333333,26.6666667,246,220.6666667,1.9833333,6.6666667,25.95
"31","Washington Capitals",5.3333333,28.7333333,46,24,255.3333333,232.6666667,0.3166667,2.6666667,8.9500002
"32","Winnipeg Jets",9,26.6333333,45.3333333,26,252,220,2,5.3333333,21.9999999
